product_id,sku,product_name,category,sub_category,brand,list_price,unit_cost,launch_date,is_discontinued
P0001,ELE-00001,PixelWave Mobiles Item 92,Electronics,Mobiles,PixelWave,71818,53612.56,2024-07-28,0
P0002,BEA-00002,GlowUp PersonalCare Item 24,Beauty,PersonalCare,GlowUp,4422,3457.08,2025-12-01,0
P0003,BEA-00003,GlowUp PersonalCare Item 81,Beauty,PersonalCare,GlowUp,2217,1045.37,2025-03-06,0
P0004,GRO-00004,DairyCo Beverages Item 60,Grocery,Beverages,DairyCo,1954,1543.71,2025-02-05,0
P0005,HOM-00005,UrbanNest Decor Item 82,Home,Decor,UrbanNest,26727,19647.65,2025-11-13,0
P0006,BOO-00006,KidsWorld Kids Item 88,Books,Kids,KidsWorld,1703,1273.39,2025-01-20,0
P0007,FAS-00007,Aura Footwear Item 82,Fashion,Footwear,Aura,4806,2701.51,2025-09-30,0
P0008,ELE-00008,ZenTech Accessories Item 68,Electronics,Accessories,ZenTech,40335,30938.24,2024-05-23,0
P0009,BOO-00009,ComicLoop Academic Item 30,Books,Academic,ComicLoop,699,375.72,2024-05-26,0
P0010,HOM-00010,Lumi Appliances Item 86,Home,Appliances,Lumi,7032,4857.77,2024-04-02,0
P0011,SPO-00011,TrailX TeamSports Item 16,Sports,TeamSports,TrailX,2875,1735.08,2025-07-22,0
P0012,FAS-00012,Aura Footwear Item 64,Fashion,Footwear,Aura,8277,6347.73,2024-09-09,0
P0013,HOM-00013,Breeze Bedding Item 54,Home,Bedding,Breeze,5453,3020.34,2025-03-12,0
P0014,GRO-00014,FarmBasket Staples Item 66,Grocery,Staples,FarmBasket,1427,1107.38,2024-04-06,0
P0015,BEA-00015,PureSkin Fragrance Item 71,Beauty,Fragrance,PureSkin,1188,808.62,2025-06-22,0
P0016,BOO-00016,StoryHouse Non-Fiction Item 52,Books,Non-Fiction,StoryHouse,1792,987.75,2025-05-20,0
P0017,FAS-00017,TrendCo Bags Item 82,Fashion,Bags,TrendCo,3533,1981.95,2025-08-23,0
P0018,ELE-00018,Astra Mobiles Item 61,Electronics,Mobiles,Astra,73251,40664.72,2024-07-13,1
P0019,SPO-00019,ZenMove Fitness Item 59,Sports,Fitness,ZenMove,19838,9503.42,2025-10-10,1
P0020,GRO-00020,DailyFresh Snacks Item 40,Grocery,Snacks,DailyFresh,1902,864.84,2024-05-22,0
P0021,SPO-00021,ActiveCore TeamSports Item 64,Sports,TeamSports,ActiveCore,967,652.36,2024-02-25,0
P0022,SPO-00022,FitPro Yoga Item 85,Sports,Yoga,FitPro,13558,6168.15,2025-08-29,0
P0023,HOM-00023,HomeCraft Appliances Item 88,Home,Appliances,HomeCraft,3542,2371.06,2024-01-10,0
P0024,GRO-00024,DailyFresh Staples Item 7,Grocery,Staples,DailyFresh,66,46.32,2024-07-10,0
P0025,FAS-00025,StyleHub Women Item 2,Fashion,Women,StyleHub,9332,5029.18,2024-02-02,0
P0026,ELE-00026,Volt Mobiles Item 48,Electronics,Mobiles,Volt,11042,8195.6,2024-11-19,0
P0027,SPO-00027,RideOn Cycling Item 50,Sports,Cycling,RideOn,12202,6191.4,2025-05-03,0
P0028,BOO-00028,StoryHouse Kids Item 78,Books,Kids,StoryHouse,1432,996.88,2024-12-06,0
P0029,GRO-00029,FarmBasket Staples Item 99,Grocery,Staples,FarmBasket,1848,1075.23,2025-09-08,0
P0030,HOM-00030,Lumi Appliances Item 37,Home,Appliances,Lumi,10734,8288.89,2024-02-13,0
P0031,BOO-00031,ComicLoop Non-Fiction Item 26,Books,Non-Fiction,ComicLoop,273,174.45,2025-01-25,0
P0032,BOO-00032,StoryHouse Non-Fiction Item 59,Books,Non-Fiction,StoryHouse,620,406.25,2025-01-29,1
P0033,SPO-00033,ZenMove Fitness Item 42,Sports,Fitness,ZenMove,13346,10195.35,2025-06-18,0
P0034,BEA-00034,Essenza PersonalCare Item 46,Beauty,PersonalCare,Essenza,1724,1198.82,2025-07-31,0
P0035,BEA-00035,PureSkin PersonalCare Item 77,Beauty,PersonalCare,PureSkin,3213,1967.0,2024-11-19,0
P0036,ELE-00036,PixelWave Accessories Item 28,Electronics,Accessories,PixelWave,68685,51728.66,2025-08-03,0
P0037,FAS-00037,VogueLine Kids Item 11,Fashion,Kids,VogueLine,9916,5638.19,2025-01-22,0
P0038,ELE-00038,Nova Mobiles Item 33,Electronics,Mobiles,Nova,73655,49639.4,2024-04-02,0
P0039,FAS-00039,Aura Bags Item 23,Fashion,Bags,Aura,8497,4298.67,2024-08-15,0
P0040,ELE-00040,PixelWave Accessories Item 8,Electronics,Accessories,PixelWave,8368,5269.05,2025-05-10,0
P0041,ELE-00041,PixelWave Laptops Item 33,Electronics,Laptops,PixelWave,1356,919.88,2025-01-15,0
P0042,BEA-00042,SilkHair Skincare Item 92,Beauty,Skincare,SilkHair,3764,2898.3,2025-04-24,0
P0043,HOM-00043,UrbanNest Kitchen Item 81,Home,Kitchen,UrbanNest,2747,2126.39,2024-01-23,0
P0044,ELE-00044,PixelWave Audio Item 24,Electronics,Audio,PixelWave,42878,21437.66,2024-02-28,0
P0045,GRO-00045,DairyCo Dairy Item 43,Grocery,Dairy,DairyCo,873,440.42,2024-10-30,0
P0046,BOO-00046,StoryHouse Non-Fiction Item 28,Books,Non-Fiction,StoryHouse,413,327.31,2025-11-15,0
P0047,SPO-00047,ActiveCore Cycling Item 54,Sports,Cycling,ActiveCore,14456,11185.73,2024-10-23,0
P0048,HOM-00048,Lumi Kitchen Item 37,Home,Kitchen,Lumi,21164,10561.9,2025-06-23,1
P0049,HOM-00049,HomeCraft Furniture Item 92,Home,Furniture,HomeCraft,13599,10133.7,2024-08-23,0
P0050,HOM-00050,Breeze Decor Item 25,Home,Decor,Breeze,27362,13625.3,2025-10-05,0
P0051,SPO-00051,TrailX TeamSports Item 64,Sports,TeamSports,TrailX,2113,1207.95,2025-10-16,0
P0052,ELE-00052,Astra Mobiles Item 74,Electronics,Mobiles,Astra,63069,50139.84,2025-01-15,1
P0053,SPO-00053,ActiveCore Fitness Item 92,Sports,Fitness,ActiveCore,4256,2279.74,2024-11-24,0
P0054,BOO-00054,ComicLoop Kids Item 32,Books,Kids,ComicLoop,151,95.99,2024-01-22,0
P0055,ELE-00055,Volt Laptops Item 34,Electronics,Laptops,Volt,24505,19221.08,2024-07-18,1
P0056,ELE-00056,Volt Wearables Item 16,Electronics,Wearables,Volt,61408,29651.91,2024-10-06,0
P0057,BEA-00057,Essenza Fragrance Item 30,Beauty,Fragrance,Essenza,1050,797.53,2024-08-20,0
P0058,HOM-00058,HomeCraft Bedding Item 47,Home,Bedding,HomeCraft,5583,3690.23,2024-02-23,1
P0059,FAS-00059,Aura Footwear Item 19,Fashion,Footwear,Aura,7335,5476.83,2025-06-13,0
P0060,GRO-00060,FarmBasket Beverages Item 86,Grocery,Beverages,FarmBasket,1117,529.73,2025-05-31,0
P0061,ELE-00061,ZenTech Laptops Item 80,Electronics,Laptops,ZenTech,55744,37602.17,2025-11-25,0
P0062,FAS-00062,StyleHub Bags Item 40,Fashion,Bags,StyleHub,4304,2293.29,2024-04-25,1
P0063,FAS-00063,StyleHub Women Item 66,Fashion,Women,StyleHub,8616,5487.02,2024-05-06,0
P0064,HOM-00064,HomeCraft Furniture Item 29,Home,Furniture,HomeCraft,9646,5310.21,2025-08-06,0
P0065,GRO-00065,FarmBasket Dairy Item 32,Grocery,Dairy,FarmBasket,651,401.83,2024-02-01,0
P0066,FAS-00066,Aura Women Item 42,Fashion,Women,Aura,6476,3713.52,2024-09-01,0
P0067,SPO-00067,RideOn TeamSports Item 57,Sports,TeamSports,RideOn,2163,1093.39,2024-12-22,0
P0068,GRO-00068,DairyCo Staples Item 54,Grocery,Staples,DairyCo,1096,872.7,2024-06-07,0
P0069,FAS-00069,Aura Kids Item 35,Fashion,Kids,Aura,4733,3361.13,2025-05-01,0
P0070,BOO-00070,KidsWorld Non-Fiction Item 54,Books,Non-Fiction,KidsWorld,1118,658.64,2024-06-02,0
P0071,BOO-00071,ComicLoop Academic Item 72,Books,Academic,ComicLoop,1579,905.42,2025-06-22,0
P0072,SPO-00072,ActiveCore Cycling Item 74,Sports,Cycling,ActiveCore,14849,9472.27,2025-03-22,0
